,0,1
0,3f5daa61a894f83a92372393dd8a9f03df17292a,527
1,3533d697f34f2ce62d51d0d7f6fee4d2a77b3f98,527
2,aff45d3d9c3a00883f48ae4ae4d8e64730ceaf2b,1288
3,96914334035f42778b6c2f2fd1202fdb0d11e325,1288
4,746319b6397ddf81adb4952d7a6f82b0c056c495,1288
5,71fedf18fa23ff50b7daf9175111ea9e62541a8a,527
6,f679f1207d783b82cc9348733cc2f4be6e9de86e,1288
7,61a949cb54255126bad6ad4739a66ac17736639e,527
8,7e7d6faa9dbe83a4cda849ba67b94058c4d362e4,527
9,ae58fd295923e0cae14271249b07ba24cb068126,1288
10,7ea747b9c8f52188539ec1934dfe3ab77dc68d78,1288
11,cc97351ecbbd9c84bb675ab3258b5ea1772507f1,1288
12,b20d665326fabb7e742254f62c52a2a9c2853aae,1288
13,032ecf6d98675f5d03684831b61ed9f76f4d33e0,527
14,1ec85201b9adcc21eca6325497f68787364ada44,1288
15,227b58230dfdbf02af77825f7889fc1a308a9d4e,527
16,cbe910de3057a30a22a1bd08bf99c4d78d367402,1288
17,ac44b56d0231e518943b57f9fb08f7e608ca2e24,527
18,32f6809f3ce4299ffffc49aabba3604a14ee60a4,1288
19,5fee91d5878afb5293f1dc471e45ab411752aa76,192
20,dfff5866c1f65fc9856f1fd64a714df59d76ea08,1288
21,92932d08ec459998d8f2cdd954773ac6279258bd,1288
22,2ae00ad3ecbb0d13ce84ab5ed50467d170962670,527
23,e51002029e855502e2295af9cda8ee5321745332,1288
24,74c4bb47a2052e238a6673a668368921b5c6fc11,1288
25,c65ea19c3a2199d0ed9cadd965ae99a387d11706,1288
26,dd449d883201c796a3c59a1aa87c17cd57e0266f,1288
27,8c78713807726cc920ee3d6db7e86dfb7a23cc45,527
28,8b4078045c274fd02a2a4b133212aa4eb2ccda22,527
29,60f4713dba0e9f202562c178139fe318d9e924c1,1288
30,f8af54c53c082dc1b568feb1189d9b72b940195e,527
31,e1e79f9e125951f8031c31932bd9941f8d855ff9,527
32,4a8b2afab297a0edcc92c3dfec41fd64bcb87eb9,1288
33,38c45da2c874bb5e45adbec9ede082292a6e1424,1288
34,595de06d50dd68d320e6b94960755aa06adccb01,1288
35,8e50253b6e2a369ed21ab16e9e60b6704d4e9a7b,527
36,cb14e5988b3dec3a2fef2f92acaef8dbb06d0867,527
37,f0508a5cc402e7b9e621134fa3c2f63b0b54fa0e,527
38,ffb92ef4a8fa512ad453a07bf165e376629554d7,197
39,2ac8c30476a435ffcd721072927fbf198b737aee,197
40,88866a90360a5fb1935c53c37d7d37b60e9a0f18,527
41,f90ec0dc08c4314001a9c5139f58ed44a4df8185,1288
42,dd30514d1e5da595595cd0361308cd81cecc345d,527
43,2ea682c26dc50a274cd59ed2641ed4bb2f4ccdec,527
44,36449bb295364f32d7b86d3d1ab8333c7ad7ef1b,527
45,6aec2e946735a276edfdf164fb34e0062c5d7f8d,527
46,6ec06661feebaf90b155c13a1fe1f75ba9fe8362,1288
47,52a7a09f0d82d8e8c7d3d4eaf07863bb5f8c5f05,527
48,e1b1b9e325f97e3fccff1a4ab7a134eec5c1433d,527
49,954f52e6dca62c133add2673bf111ee7447834eb,527
50,0488cd351b2154c8a606d6d3659b67acc6ca9a89,1288
51,94efe162423dbbf2ec5da850dc568b4ee44a9340,527
52,3e375f0affd3b40b314688de0782137703baa6d6,527
53,ba510ef670eff3eee307a31f4297cdaa6e59a386,197
54,93288eec1ff8db4e8d368de0ddd10ba973865750,1288
55,498a4d8bd5adbb54988d53d5891f147dc0c6f6e2,1288
56,9984e405855565dffbbe64dcdbc3b8e8a6b26365,527
57,23f586fc876dced22f13f90ea9bacaf90be3592a,527
58,104fe014dedf7aef3ec384b958aa7bce80d18efd,527
59,dbabd7e2d629fb5d3836fca3181f9e15a6936e36,527
60,1f6684650d9c9f368d4e3be13ad05d249c599c93,527
61,7480086193fdf0b40d16fafe4aa5dade7e196d19,527
62,c397ffe3be25a727beef8f3bdb8f5077f69d6158,527
63,bbf5607b8e6b90e4edacffd0eb9188ad1763b7f2,527
64,e7b61639ad32c891a859026da3566aaf67586bc8,527
65,e68d25df96c00005c7ebc871c0156f9f7438eb0c,197
66,1fd3fd0f94630627befc9f93d59558f60cecfed9,1288
67,b1aeab5737f674a3ef2120838ea2bd3208688d83,1288
68,ab10f7fb8460e2578fe6d8b7dc1cd61c5dce268b,527
69,392174aecd241d6242384f81e212651b7e188056,527
70,62c4a4399ac3dd545ac301eac28fa10bc856abd1,527
71,b136490acebd5861b88a0c8678bacb4dd5697102,1288
72,33f5f957c60838b0021038f250ad99cdb34a5f90,527
73,18145314fd91693420bc7326f057ad0735ccecc0,527
74,7e4e9c87cedde67a2b21c68a1593e0867c31d83e,527
75,53c47f826724055c6af2146d423bc4684c3645f1,527
76,f5268b0e17a99d07094296190f346dea6088e303,197
