,user_id,product_id
0,2b8b91f18cd9ccca9774ad32feb11cb2b7f141a8,1288
1,f60792e8a22b2e77e3c0872d38094d6609d646d1,1288
2,af67cece663dc3f96b33dbc163cecc038d754b7d,1288
3,9f10d8e59b6bde870d4760af4362b042b8b8e0d7,1288
4,4860487f9306a65f0cd5c53417614ee90a9aea7b,1288
5,e176322c03e4a04b85e4e21d8e48c3513602aa6f,527
6,89382ae24f596b2dfa52407f41a064b6cc69a978,1288
7,ad1d2fdeac18662659a9f8696858c6de7a2a2cfa,1288
8,e176322c03e4a04b85e4e21d8e48c3513602aa6f,197
9,e176322c03e4a04b85e4e21d8e48c3513602aa6f,44
10,8c78713807726cc920ee3d6db7e86dfb7a23cc45,527
11,ccac8ef908afd27cac7fde8cace7caaa2e902726,527
12,ccac8ef908afd27cac7fde8cace7caaa2e902726,192
13,e176322c03e4a04b85e4e21d8e48c3513602aa6f,192
14,9af688156dc50e668d47d6a1857149bf98b279b4,527
15,6e0eef277ddd3f59e9a1eedd42668898c6f0866c,1288
16,bef6db9b7da6fb0e971e2049dba6b8764582e12e,1288
17,8c78713807726cc920ee3d6db7e86dfb7a23cc45,1288
18,000775d9eec290dc9da1f32176c6bed82106c195,1288
19,204ab14536b4dba633b825185d327d3b51209bfc,1288
20,f60792e8a22b2e77e3c0872d38094d6609d646d1,197
21,9af688156dc50e668d47d6a1857149bf98b279b4,1288
22,2b8b91f18cd9ccca9774ad32feb11cb2b7f141a8,197
23,42d655a7b57d9212ef4955f9a1ee0cb3eeb60f35,192
24,42d655a7b57d9212ef4955f9a1ee0cb3eeb60f35,44
25,af67cece663dc3f96b33dbc163cecc038d754b7d,197
26,7d0c873772cb9df038c4276a71034d347ee71df5,44
27,0edaef63179db76199afca3186ff4810e0610dd3,44
28,0edaef63179db76199afca3186ff4810e0610dd3,192
29,81faf0af9e4a200769d8503c2599dead7bac7427,527
30,cab99ef04c092b3d0282a272bb3f67d31dc3b5e5,192
31,23312c271d2aa5ab166964a13a24902f65d98aa8,192
32,e9fdec4d4c38b56e26b679f6bc3bf95d27aa0342,192
33,cab99ef04c092b3d0282a272bb3f67d31dc3b5e5,44
34,e9fdec4d4c38b56e26b679f6bc3bf95d27aa0342,44
35,a13a5ec9952f6c017dead8913453025e7b5e8f9f,192
36,23312c271d2aa5ab166964a13a24902f65d98aa8,44
37,a13a5ec9952f6c017dead8913453025e7b5e8f9f,44
