date,user_id,product_id,action_type
2020-08-06 18:03:41.0,65fd717898b4f908543c6d9717f9c71f6304d460,419,1
2020-09-06 01:53:28.0,5330c668fcc5cf9fdaad72ce8101ce95f051b3cd,370,1
2020-09-06 13:46:41.0,7db32a0de1d0faf5c82389817766256bf8201c52,370,1
2020-09-07 13:06:21.0,7b18b1d644c02116c921d92388c6cc466a8afa90,370,1
2020-09-07 17:00:14.0,0a6ce334e2a560f524984734f0b85a04aaadc7d5,370,1
2020-10-23 06:10:35.0,ed88ed1bd51440d2bb0c6e43df36ad0a7bf5953b,447,5
2020-12-18 21:19:23.0,89c34bd9304a5bb8daba7e9912332925d4f7947f,1145,5
2021-01-05 16:49:03.0,c597edcc394f19f67a574c9863f16436dc0e2e24,1145,5
2021-01-19 14:07:48.0,a94fe97d148b56f219e49794e4d6a99c89fc0aa2,419,5
2021-02-18 15:41:58.0,80c8bd450a27c2b7a7895fc90977089182938081,1145,5
2020-09-07 18:42:43.0,050287fca2a11c9ef1f1aa2b1729a68e37aee676,370,1
2020-11-04 14:16:28.0,25019650a0c3fed5e50306e0382171c4894fe10a,370,5
2020-12-29 14:36:31.0,cc41b6e51842acffa9613180807fbfc064982164,419,3
2020-12-29 14:36:31.0,cc41b6e51842acffa9613180807fbfc064982164,419,5
2020-12-30 23:03:03.0,d00a4a2ad830c199c8c043d9a4f922f805940643,419,5
2021-06-12 16:48:26.0,d0071353385423d22fdb49f134ff253ba1b9b5e6,1417,5
2020-09-05 16:56:04.0,1f19dfb8bb20c0a179ef695ddc1f91df180346e5,370,1
2020-09-06 11:57:20.0,588e0285c8267b578e67c9b01e84d6a4907ebfaf,370,1
2020-09-06 17:13:57.0,e0abdd483f4e46eecf8af6df80af39767347c31f,370,1
2020-10-22 19:23:25.0,b50126362330b0b41dae14624121a03d6b5608d5,447,5
2020-11-04 22:15:52.0,23f8dc4716eeaef14c4440db644d3eef58f6fd6e,370,5
2020-12-02 15:03:24.0,7629f91b018d7f1e5ff9c9fe177db5849d7e3a16,370,5
2021-03-21 08:57:11.0,6ac63276d7eafe3a2efffb4fc551e79e1e307601,1145,5
2020-08-28 18:07:40.0,ad4da6ad3fa40eb2452d74108b3b9b545a691e72,370,1
2020-12-07 10:22:53.0,2efa20c9dfa47b6e6512cf7977b9ba399e37bdd9,370,3
2020-12-07 10:22:53.0,2efa20c9dfa47b6e6512cf7977b9ba399e37bdd9,370,5
2021-01-05 13:32:12.0,949ee4fc22a9a68866b28b466e5c7d705443a2bc,1145,5
2021-03-22 12:46:40.0,f3e6138b8563cc10bdc6431c4b2fe4d7f66b2479,419,5
2021-06-13 04:12:06.0,ff950bf418561523cbcf502cd08e70ccb90e41e7,1417,5
2021-06-19 06:30:06.0,22e21b4bfcadd29beb26a05e0de8125118a04eac,1417,5
2020-09-03 17:54:42.0,0006cd6bb20e15e488b1faf8a5341b67bb8f57c7,370,1
2020-11-04 19:26:11.0,be7f6a871c1d080b151f409a68256160a179eb0d,370,5
2020-12-18 12:47:27.0,a2fa39fa18d9b62794bda6126e228b269f731b47,1145,5
2020-12-18 12:47:27.0,a2fa39fa18d9b62794bda6126e228b269f731b47,1145,6
2021-01-07 08:48:30.0,2d74fa8f3025050f4bb0f319af637d62503f8dd9,419,5
2021-02-18 14:58:54.0,a06d28eb0b79c392ef9e25d3512854bbba18e5ab,1145,5
2021-02-18 15:42:59.0,23b7adc1ba37cf9aa57adede3b5895d7ac1ac8ab,1145,3
2021-02-18 15:42:59.0,23b7adc1ba37cf9aa57adede3b5895d7ac1ac8ab,1145,6
2021-02-18 15:42:59.0,23b7adc1ba37cf9aa57adede3b5895d7ac1ac8ab,1145,5
2021-02-18 15:42:59.0,23b7adc1ba37cf9aa57adede3b5895d7ac1ac8ab,1145,7
2020-08-29 18:22:06.0,bfe27770e252bed2fc570f13977704282751d81d,370,1
2020-09-16 09:38:23.0,737edda9369b3c844ce391fa156a1feff225d05b,370,1
2020-11-04 16:56:43.0,fd7e1f12a02ca3c8a56e45f454edf8361bc3735e,370,5
2020-11-04 16:56:43.0,fd7e1f12a02ca3c8a56e45f454edf8361bc3735e,370,3
2021-03-23 09:20:36.0,c291201233d76407173f9ad34f7d904e42339294,419,5
2021-03-30 03:43:11.0,650060c40bf77aa2263925ab4a2abfdc349ab76c,419,5
2021-06-19 16:49:52.0,cf3badee3f0dab75211783bfd617c8acacbce717,1417,5
2021-06-19 16:49:52.0,cf3badee3f0dab75211783bfd617c8acacbce717,1417,6
2021-06-19 16:49:52.0,cf3badee3f0dab75211783bfd617c8acacbce717,1417,3
2020-11-09 15:52:40.0,7fbdd5c4b4e24999a04cf6c56867da84b0343c78,370,5
2020-12-18 13:21:49.0,3babb912c8e7bdd76deed8b6bc3cc5fbd2f0f705,1145,5
2020-12-31 12:36:02.0,0345476c483786df02574eabbe3457a683605741,419,5
